model,f1_mean,f1_std,auc_mean,auc_std
RandomForest,0.6118924950670205,0.053042005213423414,0.9185035534462946,0.02146124658819412
SVM,0.5290941798941798,0.022175565634416045,0.8871532030654672,0.026101925134025237
LogReg,0.5117296507272399,0.021851999625015425,0.8769094516212634,0.02223286063916269
